codepoint,strokes,radical_codepoint,radical_strokes
20295,7,20154,2
20296,7,20154,2
13380,7,20154,2
20297,7,20154,2
20298,7,20154,2
20299,7,20154,2
20300,7,20154,2
20301,7,20154,2
20302,7,20154,2
20303,7,20154,2
20304,7,20154,2
20305,7,20154,2
20306,7,20154,2
20307,7,20154,2
20308,7,20154,2
20309,7,20154,2
20310,7,20154,2
20311,7,20154,2
20312,7,20154,2
20313,7,20154,2
20314,7,20154,2
20315,7,20154,2
20316,7,20154,2
20317,7,20154,2
20318,7,20154,2
20319,7,20154,2
131545,7,20154,2
131546,7,20154,2
131547,7,20154,2
131582,7,20154,2
131573,7,20154,2
131585,7,20154,2
131570,7,20154,2
131548,7,20154,2
131571,7,20154,2
131572,7,20154,2
131567,7,20154,2
20321,7,20154,2
131584,7,20154,2
131583,7,20154,2
131587,8,20154,2
20329,8,20154,2
13385,8,20154,2
20330,8,20154,2
131588,8,20154,2
20331,8,20154,2
20332,8,20154,2
20333,8,20154,2
131589,8,20154,2
20334,8,20154,2
20335,8,20154,2
20336,8,20154,2
20337,8,20154,2
131590,8,20154,2
20338,8,20154,2
20339,8,20154,2
131591,8,20154,2
13386,8,20154,2
20340,8,20154,2
20341,8,20154,2
20342,8,20154,2
20343,8,20154,2
20344,8,20154,2
13387,8,20154,2
20345,8,20154,2
131592,8,20154,2
20346,8,20154,2
20347,8,20154,2
20348,8,20154,2
20349,8,20154,2
20350,8,20154,2
20351,8,20154,2
20352,8,20154,2
20353,8,20154,2
20354,8,20154,2
20355,8,20154,2
131593,8,20154,2
20356,8,20154,2
20357,8,20154,2
20358,8,20154,2
20359,8,20154,2
20360,8,20154,2
13388,8,20154,2
20361,8,20154,2
20362,8,20154,2
20363,8,20154,2
20364,8,20154,2
20365,8,20154,2
131594,8,20154,2
20366,8,20154,2
20367,8,20154,2
20368,8,20154,2
20369,8,20154,2
20370,8,20154,2
20371,8,20154,2
20372,8,20154,2
20373,8,20154,2
20374,8,20154,2
13389,8,20154,2
20375,8,20154,2
20376,8,20154,2
20377,8,20154,2
20378,8,20154,2
20379,8,20154,2
20380,8,20154,2
20381,8,20154,2
13390,8,20154,2
131595,8,20154,2
20382,8,20154,2
131596,8,20154,2
13391,8,20154,2
131597,8,20154,2
20383,8,20154,2
131598,8,20154,2
131599,8,20154,2
131600,8,20154,2
131601,8,20154,2
